time_s,goal_steer_deg,curr_steer_deg
1746813544.216,-351.720,-351.720
1746813544.330,-351.720,-351.720
1746813544.416,-351.720,-351.720
1746813544.517,-330.020,-351.720
1746813544.617,-330.020,-330.020
1746813544.724,-332.900,-330.020
1746813544.825,-210.840,-332.900
1746813544.916,-210.840,-210.840
1746813545.018,-210.840,-210.840
1746813545.116,-210.840,-210.840
1746813545.216,-304.860,-210.840
1746813545.316,-304.860,-304.860
1746813545.416,-304.860,-304.860
1746813545.516,-304.860,-304.860
1746813545.616,-325.060,-304.860
1746813545.716,-325.060,-325.060
1746813545.816,-331.250,-325.060
1746813545.916,-283.980,-331.250
1746813546.016,-283.980,-283.980
1746813546.116,-283.980,-283.980
1746813546.216,-295.400,-283.980
1746813546.316,-226.510,-295.400
1746813546.417,-226.510,-226.510
1746813546.516,-226.510,-226.510
1746813546.617,-310.090,-226.510
1746813546.716,-203.290,-310.090
1746813546.816,-203.290,-203.290
1746813546.916,-162.300,-203.290
1746813547.017,-187.180,-162.300
1746813547.117,-187.180,-187.180
1746813547.218,-187.180,-187.180
1746813547.316,-262.820,-187.180
1746813547.417,-262.820,-262.820
1746813547.516,-262.820,-262.820
1746813547.617,-121.320,-262.820
1746813547.719,-121.320,-121.320
1746813547.816,-121.320,-121.320
1746813547.917,283.800,-121.320
1746813548.017,280.360,283.800
1746813548.116,280.360,280.360
1746813548.216,280.360,280.360
1746813548.316,245.520,280.360
1746813548.416,245.520,245.520
1746813548.517,245.520,245.520
1746813548.617,245.520,245.520
1746813548.716,232.870,245.520
1746813548.817,199.720,232.870
1746813548.916,199.720,199.720
1746813549.016,199.720,199.720
1746813549.116,176.590,199.720
1746813549.217,131.760,176.590
1746813549.317,131.760,131.760
1746813549.416,131.760,131.760
1746813549.516,131.760,131.760
1746813549.617,56.040,131.760
1746813549.719,56.040,56.040
1746813549.827,56.040,56.040
1746813549.917,11.090,56.040
1746813550.016,-81.100,11.090
1746813550.119,-81.580,-81.100
1746813550.217,-82.040,-81.580
1746813550.317,-190.690,-82.040
1746813550.416,-191.450,-190.690
1746813550.517,-191.450,-191.450
1746813550.616,-191.450,-191.450
1746813550.716,-260.020,-191.450
1746813550.817,-320.500,-260.020
1746813550.917,-320.500,-320.500
1746813551.017,-320.500,-320.500
1746813551.116,-515.510,-320.500
1746813551.216,-515.510,-515.510
1746813551.316,-515.510,-515.510
1746813551.416,-620.580,-515.510
1746813551.517,-620.580,-620.580
1746813551.618,-620.580,-620.580
1746813551.716,-620.580,-620.580
1746813551.817,-629.340,-620.580
1746813551.917,-629.340,-629.340
1746813552.016,-629.340,-629.340
1746813552.116,-629.340,-629.340
1746813552.216,-629.340,-629.340
1746813552.323,-629.340,-629.340
1746813552.416,-629.340,-629.340
1746813552.517,-629.340,-629.340
1746813552.617,-629.340,-629.340
1746813552.716,-629.340,-629.340
1746813552.816,-629.340,-629.340
1746813552.916,-629.340,-629.340
1746813553.016,-629.340,-629.340
1746813553.117,-629.340,-629.340
1746813553.216,-629.340,-629.340
1746813553.316,-414.170,-629.340
1746813553.417,-414.170,-414.170
1746813553.523,-414.170,-414.170
1746813553.616,-629.340,-414.170
